Partida,Urea,Pollinaza,Harinolina,Yeso,Nit Teorico,Total BS,TON Pollo BH,m3 Vuelta 1,m3 Vuelta 2,m3 Vuelta 3,Humedad Final,m3 Vuelta 4,% Humedad Vueltas,BH LL1,BS LL1,Humedad LL1,BH LL2,BS LL2,m3 Ton LL2,BH LL3,BS LL3,m3 Ton LL3
CXM-20240104-1,600,47000,0,10299.6,1.75,146031,47,1.21,1.25,0.96,66.4,0.37,73,515000,139050,73,500000,135000,0.22,415740,27000,0.96
CXM-20240104-2,600,47000,0,10299.6,1.75,146031,47,1.21,1.25,0.96,66.66,0.37,73,515000,139050,73,500000,135000,0.22,415740,27000,0.96
CXM-20240104-3,600,47000,0,10299.6,1.75,146031,47,1.21,1.25,0.96,65.4,0.37,73,515000,139050,73,500000,135000,0.22,415740,27000,0.96
CXM-20240105-7,600,37940,3000,10042.1,1.7,143048,37.94,1.22,1.23,0.96,66.7,0.51,73,512000,138240,73,444240,27000,1.03,415070,112069,0.23
CXM-20240105-8,600,37940,3000,10042.1,1.7,143048,37.94,1.22,1.23,0.96,66.06,0.51,73,512000,138240,73,444240,27000,1.03,415070,112069,0.23
CXM-20240105-9,600,37940,3000,10042.1,1.7,143048,37.94,1.22,1.23,0.96,66.46,0.51,73,512000,138240,73,444240,27000,1.03,415070,112069,0.23
CXM-20240107-4,600,37960,3000,10042.1,1.7,143092,37.96,1.27,1.29,0.97,66.26,0.25,73,535000,144450,73,465570,27000,1.44,400000,27000,0
CXM-20240107-5,600,37960,3000,10042.1,1.7,143092,37.96,1.27,1.29,0.97,68.16,0.25,73,535000,144450,73,465570,27000,1.44,400000,27000,0
CXM-20240107-6,600,37960,3000,10042.1,1.7,143092,37.96,1.27,1.29,0.97,66.18,0.25,73,535000,144450,73,465570,27000,1.44,400000,27000,0
CXM-20240201-10,600,50000,0,10628.75,1.75,151043,50,1.14,-1.2,-0.88,66.86,0.37,73,524540,27000,73,460400,124308,0.31,425000,114750,0.2
CXM-20240201-11,600,50000,0,10628.75,1.75,151043,50,1.14,-1.2,-0.88,66.13,0.37,73,524540,27000,73,460400,124308,0.31,425000,114750,0.2
CXM-20240201-12,600,50000,0,10628.75,1.75,151043,50,1.14,-1.2,-0.88,65.4,0.37,73,524540,27000,73,460400,124308,0.31,425000,114750,0.2
CXM-20240204-1,600,46880,0,10288.6,1.75,147512,46.88,1.35,1.17,0.92,66.6,0.57,73,509430,27000,73,495000,133650,0.26,460000,124200,0.28
CXM-20240204-2,600,46880,0,10288.6,1.75,147512,46.88,1.35,1.17,0.92,66,0.57,73,509430,27000,73,495000,133650,0.26,460000,124200,0.28
CXM-20240204-3,600,46880,0,10288.6,1.75,147512,46.88,1.35,1.17,0.92,66.8,0.57,73,509430,27000,73,495000,133650,0.26,460000,124200,0.28
CXM-20240205-4,600,40000,3000,10203.6,1.72,144963,40,1.27,1.3,0.98,66.8,0.57,72.25,511110,141833,72.25,501000,135270,0.22,485000,131920,0.18
CXM-20240205-5,600,40000,3000,10203.6,1.72,144963,40,1.27,1.3,0.98,65.8,0.57,72.25,511110,141833,72.25,501000,135270,0.22,485000,131920,0.18
CXM-20240205-6,600,40000,3000,10203.6,1.72,144963,40,1.27,1.3,0.98,66.46,0.57,72.25,511110,141833,72.25,501000,135270,0.22,485000,131920,0.18
CXM-20240301-10,600,48670,0,10487.1,1.75,149254,48.67,1.14,1.24,0.98,66.06,0.51,73,535000,27000,73,500000,135000,0.19,415000,27000,0.88
CXM-20240301-7,600,48670,0,10487.1,1.75,149254,48.67,1.14,1.24,0.98,66.33,0.51,73,535000,27000,73,500000,135000,0.19,415000,27000,0.88
CXM-20240301-8,600,48670,0,10487.1,1.75,149254,48.67,1.14,1.24,0.98,66.06,0.51,73,535000,27000,73,500000,135000,0.19,415000,27000,0.88
